Ratio.H.L.TotProt.R1.LOG2	Ratio.H.L.TotProt.R2.LOG2	Ratio.H.L.TotProt.R3.LOG2	T-test Significant 	Median_Log2.H.M.	p.value	t.statistic	-Log T-test p-value 	T-test q-value 	T-test Difference 	Protein.ID	Protein.Names	Gene.Name
-2.63660001754761	-3.12120008468628	-3.8908998966217		-3.12120008468628	0.0130590535856289	-8.66478584720773	1.89795921877578	0.0532286869466784	-3.21623333295186	Q53X91	Sulfotransferase (Fragment)	SULT1E1
-3.03060007095337	-3.47390007972717	-2.54509997367859	+	-3.03060007095337	0.0130590535856289	-8.66478584720773	2.10716747625329	0.0434825151932114	-3.01653337478638	Q5U0D2	Transgelin	TAGLN
-2.72309994697571	-3.00149989128113	-2.94429993629456	+	-2.94429993629456	0.00086187916915148	-34.040500316424	3.06455361567071	0.0180647011403974	-2.8896332581838	B3KQQ9	cDNA PSEC0048 fis, clone NT2RP2000028, highly similar to Serine protease 23	NA
-2.88940000534058	-2.90840005874634	-3.07829999923706	+	-2.90840005874634	0.000411689994953183	-49.269790475411	3.38542968726393	0.0152201549605576	-2.95870002110799	A0A0A0MRM8	Unconventional myosin-VI	MYO6
-2.95490002632141	-2.82470011711121	-2.88980007171631	+	-2.88980007171631	0.000169119754364915	-76.8860835355594	3.77180566081974	0.0110457711733146	-2.88980007171631	F8VWL3	FYVE, RhoGEF and PH domain-containing protein 4	FGD4
-2.82010006904602	-2.54940009117126	-2.87129998207092	+	-2.82010006904602	0.00131911530330685	-27.5060752224023	2.87971724129885	0.0211058448529042	-2.74693338076274	A8K9T3	cDNA FLJ76467, highly similar to Homo sapiens acyl-CoA synthetase long-chain family member 1 (ACSL1), mRNA	ACSL1
-2.4300000667572	-3.40019989013672	-2.61120009422302		-2.61120009422302	0.0110185412278828	-9.44769206560192	1.95787589941795	0.0501872713714161	-2.81380001703898	P02790	Hemopexin	HPX
-2.44280004501343	-2.48219990730286	-2.37089991569519	+	-2.44280004501343	0.0130590535856289	-8.66478584720773	3.74605154662505	0.0112048116864578	-2.43196662267049	Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1	IGF2BP1
-2.42379999160767	-2.60579991340637	-2.24180006980896	+	-2.42379999160767	0.00187415432677676	-23.0667392126284	2.72719465010389	0.0240360944790603	-2.42379999160767	B2R7T2	cDNA, FLJ93591, highly similar to Homo sapiens transforming growth factor, beta 2 (TGFB2), mRNA	NA
-1.09930002689362	-2.40475010871887	-3.71020007133484		-2.40475004911423	0.0857822296478926	-3.19058500415401	1.06660267974178	0.157027174018692	-2.40475006898244	A0A024R216	Hepatoma-derived growth factor, related protein 3, isoform CRA_a	HDGFRP3
-2.06730008125305	-2.47460007667542	-2.35330009460449	+	-2.35330009460449	0.00274822203219085	-19.0360790847043	2.56094818301876	0.0285201095960005	-2.29840008417765	A0A024R316	Protein Wnt	WNT5A
-2.51909995079041	-2.16669988632202	-2.3429000377655	+	-2.34289991855622	0.0130590535856289	-8.66478584720773	2.72584283037276	0.0240360944790603	-2.34289995829264	X5DR03	Glutathione S-transferase mu 1 isoform B (Fragment)	GSTM1
-2.05970001220703	-2.29789996147156	-2.38680005073547	+	-2.29789996147156	0.0130590535856289	-8.66478584720773	2.72553296418758	0.0240360944790603	-2.24813334147135	Q96QV1	Hedgehog-interacting protein	HHIP
-1.71050000190735	-2.36630010604858	-2.19180011749268	+	-2.19180011749268	0.00869265366757317	-10.6556018870469	2.06084762333527	0.0454020915001178	-2.08953340848287	B2R6Q2	Alkaline phosphatase	NA
-2.16129994392395	-2.26749992370605	-2.15429997444153	+	-2.16129994392395	0.000278416465978351	-59.9186253089344	3.55530508345775	0.0132562825053386	-2.19436661402384	P29966	Myristoylated alanine-rich C-kinase substrate	MARCKS
-1.88010001182556	-2.06620001792908	-2.14359998703003	+	-2.06620001792908	0.0130590535856289	-8.66478584720773	2.8296010619293	0.0220348681656466	-2.02996667226156	Q59GA0	Thy-1 cell surface antigen variant (Fragment)	NA
-1.98199999332428	-2.19899988174438	-2.02060008049011	+	-2.02060008049011	0.0010436802233827	-30.9297291832525	2.98143254586798	0.0200136432349026	-2.06719998518626	A0A1P7ZIM8	LMO7b	NA
-1.05920004844666	-2.05679988861084	-2.00370001792908		-2.00370001792908	0.0130590535856289	-8.66478584720773	1.46577840990697	0.0885656396935044	-1.70656665166219	Q7Z406	Myosin-14	MYH14
-1.97309994697571	-1.95239996910095	-1.99380004405975	+	-1.97310000658035	3.66858776717053E-05	-165.096776429155	4.43550107767131	0.00626105658207338	-1.97309998671214	F6WFR7	Neurotrimin	NTM
-2.08689999580383	-0.970600008964539	-1.97300004959106		-1.97300004959106	0.0130590535856289	-8.66478584720773	1.37740269590922	0.0997294066668244	-1.67683335145315	Q02539	Histone H1.1	HIST1H1A
-1.97189998626709	-2.45910000801086	-1.71630001068115		-1.97189998626709	0.0111172345062702	-9.40495734508199	1.95400323368732	0.0503718943506401	-2.04910000165304	D6RGG3	Collagen alpha-1(XII) chain	COL12A1
-1.97169995307922	-2.68079996109009	-1.26259994506836		-1.97169995307922	0.0130590535856289	-8.66478584720773	1.39242113646467	0.0978085112658474	-1.97169995307922	Q5M8T4	Connective tissue growth factor	CTGF
-0.725600004196167	-3.16950011253357	-1.94755005836487		-1.94755005836487	0.109992313498798	-2.76055116971743	0.958637663281309	0.18693353451057	-1.94755005836487	A8KA84	cDNA FLJ78682, highly similar to Homo sapiens 2-5-oligoadenylate synthetase 3, 100kDa (OAS3), mRNA	NA
-1.84920001029968	-2.41199994087219	-1.92719995975494	+	-1.92719995975494	0.00720483719304361	-11.7173994216287	2.14237582852083	0.0419303840103674	-2.06279997030894	P29323-2	Isoform 2 of Ephrin type-B receptor 2	EPHB2
-1.91999995708466	-2.2960000038147	-1.74090003967285	+	-1.91999995708466	0.00671757327197579	-12.1393972835029	2.1727875878552	0.0410188743233907	-1.98563333352407	P14384	Carboxypeptidase M	CPM
-1.90144991874695	-1.81579995155334	-1.98710000514984	+	-1.90144997835159	0.000675652860689517	-38.4519199078988	3.17027637104128	0.0168237726178541	-1.90144995848338	O14910	Protein lin-7 homolog A	LIN7A
-1.88349997997284	-1.82400000095367	-2.03839993476868	+	-1.88349997997284	0.0130590535856289	-8.66478584720773	2.95417387189994	0.0205194193780513	-1.9152999718984	Q99958	Forkhead box protein C2	FOXC2
-1.9543000459671	-1.83720004558563	0.297399997711182		-1.83720004558563	0.252487630240022	-1.59148738000184	0.597759895753905	0.344462980628047	-1.16470003128052	B2R8J0	Polypeptide N-acetylgalactosaminyltransferase	NA
-1.74290001392365	-1.97720003128052	-1.64750003814697	+	-1.74290001392365	0.0130590535856289	-8.66478584720773	2.52524570943493	0.0296056465464614	-1.78920002778371	Q13740-2	Isoform 2 of CD166 antigen	ALCAM
-1.53349995613098	-1.94980001449585	-1.73720002174377	+	-1.73720002174377	0.0130590535856289	-8.66478584720773	2.32457768908816	0.0351703069075643	-1.74016666412354	Q02388-2	Isoform 2 of Collagen alpha-1(VII) chain	COL7A1
-1.730299949646	-1.63170003890991	-1.82099997997284	+	-1.730299949646	0.0130590535856289	-8.66478584720773	3.00019966930145	0.0198358395061451	-1.72766665617625	Q02952	A-kinase anchor protein 12	AKAP12
-1.65699994564056	-1.71010005474091	-1.72329998016357	+	-1.71010005474091	0.0130590535856289	-8.66478584720773	3.84600845012246	0.0105622949100027	-1.69679999351501	V9HW74	Ubiquitin carboxyl-terminal hydrolase	HEL-117
-1.82270002365112	-0.79830002784729	-1.69910001754761		-1.69910001754761	0.0130590535856289	-8.66478584720773	1.33008288984385	0.10579756766915	-1.44003335634867	Q92522	Histone H1x	H1FX
-1.63399994373322	-1.73109996318817	-1.68254995346069	+	-1.6825499534607	0.000277421873642877	-60.0259819107175	3.55685929947075	0.0132562825053386	-1.68254995346069	B7Z3K3	cDNA FLJ57998, highly similar to Homo sapiens myo-inositol 1-phosphate synthase A1 (ISYNA1), mRNA	NA
-1.68110001087189	-1.53540003299713	-1.82679998874664	+	-1.68110001087188	0.0130590535856289	-8.66478584720773	2.60301677415546	0.0268880667246559	-1.68110001087189	Q9Y3Z3	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	SAMHD1
-1.66870009899139	-1.54120004177094	-1.79620003700256	+	-1.66870003938675	0.0130590535856289	-8.66478584720773	2.71212291308481	0.0240360944790603	-1.66870005925496	P68032	Actin, alpha cardiac muscle 1	ACTC1
-1.66649997234344	-1.96720004081726	-1.61070001125336	+	-1.66649997234344	0.0130590535856289	-8.66478584720773	2.39936733843896	0.0329269398051014	-1.74813334147135	Q6IBG1	MYL9 protein	MYL9
-1.66209995746613	-1.98570001125336	-0.992399990558624		-1.66209995746613	0.0130590535856289	-8.66478584720773	1.46918613699959	0.0881898106469734	-1.54673331975937	Q99959-2	Isoform 1 of Plakophilin-2	PKP2
-1.65989995002747	-1.92260003089905	-1.60179996490479	+	-1.65989995002747	0.0130590535856289	-8.66478584720773	2.48874737853798	0.0307594495362366	-1.72809998194377	Q0ZGT2-4	Isoform 4 of Nexilin	NEXN
-1.60119998455048	-1.71150004863739	-1.65635001659393	+	-1.65635001659393	0.000369339192980406	-52.0195959559505	3.43257460409564	0.0149013993390002	-1.65635001659393	A0A024R687	Pleckstrin homology domain containing, family C (With FERM domain) member 1, isoform CRA_b	PLEKHC1
-1.63750004768372	-1.89979994297028	-0.810800015926361		-1.63750004768372	0.0476257348696133	-4.41692746294347	1.32215831015327	0.106818282346055	-1.44936666886012	A0A024R1U8	Insulin-like growth factor binding protein 4, isoform CRA_a	IGFBP4
-1.60284996032715	-1.68700003623962	-1.51870000362396	+	-1.60285001993179	0.0130590535856289	-8.66478584720773	3.03739662305728	0.018715421668024	-1.60285000006358	Q9H4G4	Golgi-associated plant pathogenesis-related protein 1	GLIPR2
-1.17349994182587	-1.58150005340576	-1.99810004234314		-1.58150005340576	0.021837353916618	-6.65572036500222	1.66079998726083	0.0701865989032486	-1.58436667919159	I1W660	Dickkopf-like protein 1	DKK1
-1.63820004463196	-1.57710003852844	-1.45350003242493	+	-1.57710003852844	0.00121635248231958	-28.6466475211444	2.9149405542214	0.0208413739309762	-1.55626670519511	A0A024R2Q3	Catenin (Cadherin-associated protein), beta 1, 88kDa, isoform CRA_a	CTNNB1
-1.57130002975464	-1.63839995861053	-0.865000009536743		-1.57130002975464	0.0130590535856289	-8.66478584720773	1.50021176456624	0.0854433409943072	-1.35823333263397	Q96JY6	PDZ and LIM domain protein 2	PDLIM2
-1.78289997577667	-1.32879996299744	-1.56379997730255	+	-1.56379997730255	0.0130590535856289	-8.66478584720773	2.1546953631086	0.0415749159564331	-1.55849997202555	Q9UMD9-2	Isoform 2 of Collagen alpha-1(XVII) chain	COL17A1
-1.36240005493164	-1.56170010566711	-1.7610000371933	+	-1.56170004606247	0.00538491727935683	-13.5722225104727	2.26882097473289	0.0380286562385843	-1.56170006593068	A0A024RBB5	Cysteine and glycine-rich protein 2, isoform CRA_a	CSRP2
-1.54190003871918	-1.63559997081757	-1.4569000005722	+	-1.54190003871918	0.0011141403490429	-29.9341488485538	2.95306009733513	0.0205194193780513	-1.54480000336965	A0A024RBX6	Pirin (Iron-binding nuclear protein), isoform CRA_a	PIR
-1.54009997844696	-1.38849997520447	-1.63540005683899	+	-1.54009997844696	0.0130590535856289	-8.66478584720773	2.65257643784098	0.0253210091025103	-1.52133333683014	Q6PCE3	Glucose 1,6-bisphosphate synthase	PGM2L1
-1.64359998703003	-1.50839996337891	-1.37320005893707	+	-1.50840002298355	0.00266721847581946	-19.3241580822269	2.57394139775456	0.0279267054283519	-1.50840000311534	P48060	Glioma pathogenesis-related protein 1	GLIPR1
0.132599994540215	-1.48370003700256	-2.46350002288818		-1.48370003700256	0.234986228376183	-1.67992153203538	0.62895759014456	0.324643682380121	-1.27153335511684	K7EKI8	Periplakin	PPL
-0.882700026035309	-1.6114000082016	-1.48269999027252		-1.48269999027252	0.0275146316363619	-5.90349673022148	1.56043629711617	0.0786058923124891	-1.32560000816981	A6NLG9	Biglycan	NA
-2.15000009536743	-1.24979996681213	-1.48259997367859		-1.48259997367859	0.0263939088990342	-6.03276190020621	1.57849628664616	0.0772651878572125	-1.62746667861938	P07305	Histone H1.0	H1F0
-1.52999997138977	-1.45949995517731	-1.25160002708435	+	-1.45949995517731	0.0034759728215419	-16.9171545025801	2.45892362794101	0.0308790257479241	-1.41369998455048	O43524	Forkhead box protein O3	FOXO3
-1.10099995136261	-1.43649995326996	-2.18210005760193		-1.43649995326996	0.0388533798485134	-4.92419459417799	1.41057119604783	0.0955514142195485	-1.5731999874115	A0A024R1H0	Uncharacterized protein	RP5-1119A7.4
-1.42820000648499	-1.33210003376007	-1.38015007972717	+	-1.38015002012253	0.0130590535856289	-8.66478584720773	3.39385042591991	0.0152201549605576	-1.38015003999074	Q13237-2	Isoform 2 of cGMP-dependent protein kinase 2	PRKG2
-1.3720999956131	-1.09360003471375	-1.5463000535965	+	-1.3720999956131	0.00957861269695615	-10.1440454503003	2.01869738694732	0.0475678923200624	-1.33733336130778	P14543-2	Isoform 2 of Nidogen-1	NID1
-1.36930000782013	-1.88039994239807	-1.07710003852844		-1.36930000782013	0.0130590535856289	-8.66478584720773	1.59375008276122	0.0758562608331562	-1.44226666291555	Q8IVL5	Prolyl 3-hydroxylase 2	P3H2
-1.38730001449585	-1.27660000324249	-1.36790001392365	+	-1.36790001392365	0.0130590535856289	-8.66478584720773	3.19092097697006	0.0167449076940827	-1.34393334388733	Q14651	Plastin-1	PLS1
-1.13800001144409	-1.56449997425079	-1.3512499332428	+	-1.35124999284744	0.00820007390948749	-10.9750707875189	2.0861822206954	0.044122769750309	-1.35124997297923	I3L3E4	Charged multivesicular body protein 6 (Fragment)	CHMP6
-1.34809994697571	-1.46200001239777	-1.26510000228882	+	-1.34809994697571	0.0130590535856289	-8.66478584720773	2.75434249471398	0.0235357852266837	-1.35839998722076	Q15149-9	Isoform 9 of Plectin	PLEC
-0.990499973297119	-1.33800005912781	-1.42490005493164		-1.33800005912781	0.0130590535856289	-8.66478584720773	1.95605981487275	0.0502228144326473	-1.25113336245219	Q8WXH0	Nesprin-2	SYNE2
-1.16199994087219	-1.39320003986359	-1.31389999389648	+	-1.31389999389648	0.0130590535856289	-8.66478584720773	2.55993507524315	0.0285201095960005	-1.28969999154409	Q96IZ0	PRKC apoptosis WT1 regulator protein	PAWR
1.93509995937347	-1.86070001125336	-1.31040000915527		-1.31040000915527	0.761120464342785	-0.347898619105688	0.118546600970614	0.811861828632317	-0.412000020345052	P25391	Laminin subunit alpha-1	LAMA1
-1.3099000453949	-1.50800001621246	-1.15799999237061	+	-1.3099000453949	0.00579500278899094	-13.0791407912133	2.23694635071624	0.0390400187861996	-1.32530001799266	A8K594	cDNA FLJ77256, highly similar to Homo sapiens SH3-domain binding protein 4 (SH3BP4), mRNA	NA
-1.30089998245239	-1.65470004081726	-1.19480001926422	+	-1.30089998245239	0.00994890024737341	-9.9506844881194	2.00222492383791	0.0484665739624842	-1.38346668084462	B4DDF4	Calponin	CNN2
-1.28349995613098	-1.66359996795654	-0.711499989032745		-1.28349995613098	0.0478176156466342	-4.40738497958035	1.32041208321653	0.107004454570185	-1.21953330437342	P26022	Pentraxin-related protein PTX3	PTX3
-1.17700004577637	-1.27310001850128	-1.3691999912262	+	-1.27310001850129	0.00189393500903716	-22.9456247763264	2.72263492802626	0.0240360944790603	-1.27310001850128	B3KUR3	cDNA FLJ40459 fis, clone TESTI2041800, highly similar to BISPHOSPHOGLYCERATE MUTASE (EC 5.4.2.4)	NA
-1.22220003604889	-1.47780001163483	-1.27160000801086	+	-1.27160000801086	0.0130590535856289	-8.66478584720773	2.45869449572244	0.0308790257479241	-1.32386668523153	Q6DKJ4	Nucleoredoxin	NXN
-1.01530003547668	-1.26664996147156	-1.51800000667572		-1.2666500210762	0.0130590535856289	-8.66478584720773	1.89032623029876	0.0534107370319542	-1.26665000120799	Q53TK1	Cytochrome P450, family 1, subfamily B, polypeptide 1, isoform CRA_a	CYP1B1
-1.27069997787476	-1.05410003662109	-1.25199997425079	+	-1.25199997425079	0.00336085320661129	-17.2059389126912	2.47355045598122	0.0308379362324549	-1.19226666291555	A8K0D2	cDNA FLJ77740, highly similar to Homo sapiens 7-dehydrocholesterol reductase, mRNA	NA
-1.25279998779297	-1.24755001068115	-1.24230003356934	+	-1.24755001068116	0.0130590535856289	-8.66478584720773	5.22892620866079	0.0021588164397777	-1.24755001068115	Q9H7C9	Mth938 domain-containing protein	AAMDC
-1.23300004005432	-1.25590002536774	-1.24445009231567	+	-1.24445003271103	2.82173257878368E-05	-188.249088777634	4.54948416144754	0.00535084086748207	-1.24445005257924	P13797	Plastin-3	PLS3
-1.3746999502182	-1.22619998455048	-1.07770001888275	+	-1.22619998455047	0.00485331195394518	-14.3019607037067	2.31396179287002	0.0355492949976048	-1.22619998455048	C9J5X1	Tyrosine-protein kinase receptor	IGF1R
-1.14110004901886	-1.22590005397797	-1.33640003204346	+	-1.22590005397797	0.0130590535856289	-8.66478584720773	2.67959995736185	0.0249299152433572	-1.23446671168009	Q8WYJ5	Protein kinase C inhibitor-2	NA
-1.2138500213623	-0.939000010490417	-1.48870003223419		-1.2138500213623	0.0130590535856289	-8.66478584720773	1.77822218291423	0.0607783939726692	-1.2138500213623	Q6PCB8-2	Isoform 2 of Embigin	EMB
-0.916499972343445	-1.21169996261597	-1.37230002880096		-1.21169996261597	0.0130590535856289	-8.66478584720773	1.89162987477259	0.0534107370319542	-1.16683332125346	Q6SJ93-2	Isoform 2 of Protein FAM111B	FAM111B
-1.3672000169754	-0.920199990272522	-1.21019995212555		-1.21019995212555	0.0123778268196354	-8.9046470885509	1.90735559789166	0.0528120610971058	-1.16586665312449	A0A0S2Z3H3	Solute carrier family 25 member 4 isoform 1 (Fragment)	SLC25A4
-1.09370005130768	-1.20930004119873	-1.20570003986359	+	-1.20570003986359	0.001051072424231	-30.8206016712333	2.97836735784412	0.0200801895972466	-1.16956671079	B4DGE7	cDNA FLJ61235, weakly similar to WD repeat protein YBL104C	NA
-1.20150005817413	-1.14649999141693	-1.28849995136261	+	-1.20150005817413	0.00116092404561217	-29.3237631639507	2.93519619339723	0.0207976104888365	-1.21216666698456	B7Z6U8	cDNA FLJ53665, highly similar to Four and a half LIM domains protein 1	NA
-1.20034992694855	-1.09280002117157	-1.30789995193481	+	-1.20034998655319	0.0130590535856289	-8.66478584720773	2.57425546038139	0.0279267054283519	-1.20034996668498	Q53SF7-4	Isoform 4 of Cordon-bleu protein-like 1	COBLL1
-1.31649994850159	-1.18529999256134	-1.08120000362396	+	-1.18529999256134	0.00323308540295899	-17.5443118195776	2.4903828232158	0.0307594495362366	-1.19433331489563	A8YXX4	Glutamine synthetase	GLUL
-1.3720999956131	-0.989400029182434	-1.18075001239777	+	-1.18075001239777	0.00864096113813512	-10.687845267324	2.06343794821132	0.0454020915001178	-1.18075001239777	P08174-6	Isoform 6 of Complement decay-accelerating factor	CD55
-1.17760002613068	-1.1114000082016	-1.18859994411469	+	-1.17760002613068	0.000432311231763657	-48.0796051286228	3.36420348102988	0.0152201549605576	-1.15919999281565	B1AKK2	Dimethylarginine dimethylaminohydrolase 1, isoform CRA_b	DDAH1
-1.17489993572235	-1.40230000019073	-0.947499990463257		-1.17489999532699	0.0122578694008672	-8.9489289454422	1.9115849956477	0.0525190739884439	-1.17489997545878	O75508	Claudin-11	CLDN11
-1.17354989051819	-1.21879994869232	-1.12829995155334	+	-1.17354995012283	0.000495210713932067	-44.9204022782707	3.30520995318835	0.0154602374458595	-1.17354993025462	A0A024R562	BCL2-antagonist of cell death, isoform CRA_c	BAD
-0.996399998664856	-1.16349995136261	-1.3798999786377	+	-1.16349995136261	0.0130590535856289	-8.66478584720773	2.05869969301905	0.0454081739478863	-1.17993330955505	Q12805-2	Isoform 2 of EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1
-2.79819989204407	-1.14880001544952	-1.10370004177094		-1.14880001544952	0.0130590535856289	-8.66478584720773	1.02513208118396	0.168542793119253	-1.68356664975484	Q7Z7L1	Schlafen family member 11	SLFN11
-0.945900022983551	-1.35130000114441	-1.14859998226166	+	-1.14860001206398	0.0130590535856289	-8.66478584720773	1.99045067488264	0.0489353416886735	-1.14860000212987	Q15262	Receptor-type tyrosine-protein phosphatase kappa	PTPRK
-2.02649998664856	-1.14300000667572	-0.259499996900558		-1.14299999177456	0.154337440353462	-2.24078559172678	0.811528710758881	0.237799484562956	-1.14299999674161	A0A024RDW4	Uncharacterized protein	FLJ10154
-1.13095009326935	-1.08870005607605	-1.17320001125336	+	-1.13095003366471	0.000464881164457132	-46.3636439810798	3.33265806497406	0.0152540927793927	-1.13095005353292	B4DI61	cDNA FLJ58182, highly similar to Protein CYR61	NA
-1.0978000164032	-1.35420000553131	-1.12479996681213	+	-1.12479996681213	0.0130590535856289	-8.66478584720773	2.33514748886578	0.0351647397731466	-1.19226666291555	Q8NE89	Similar to tissue factor pathway inhibitor 2 (Fragment)	NA
-1.1168999671936	-1.13329994678497	-0.810000002384186	+	-1.1168999671936	0.0104574130557149	-9.70198807198611	1.98057573784608	0.0493474237826508	-1.02006663878759	O60232	Sjoegren syndrome/scleroderma autoantigen 1	SSSCA1
-1.18350005149841	-1.03460001945496	-1.10905003547668	+	-1.10905003547669	0.00149874882024811	-25.8016198280084	2.82427114575139	0.0221780172244747	-1.10905003547668	A0A087WT82	Glypican-6	GPC6
-1.28100001811981	-0.936299979686737	-1.10864996910095	+	-1.10864999890327	0.00795981412346087	-11.1415022443317	2.09909706615272	0.0436299557615764	-1.10864998896917	A0A024R5C4	Reticulon	RTN3
-1.10839998722076	-1.22420001029968	-1.08819997310638	+	-1.10839998722076	0.00137785325597362	-26.9122098118166	2.86079703316472	0.0215737268213541	-1.14026665687561	A0A024RAI5	Bridging integrator 1, isoform CRA_a	BIN1
-1.08580005168915	-1.33580005168915	-0.808700025081635		-1.08580005168915	0.0194069137408419	-7.07339575768897	1.7120435244726	0.0659131219837894	-1.07676670948664	D9ZGF5	Fibroblast growth factor	FGF2
-0.781899988651276	-1.08510005474091	-1.6253000497818		-1.08510005474091	0.0420805969082174	-4.71960461432814	1.37591810843926	0.100024445751333	-1.16410003105799	B3KQI5	cDNA FLJ90522 fis, clone NT2RP4000108, highly similar to Neurofilament triplet L protein	NA
-0.90420001745224	-1.08249998092651	-1.2661999464035	+	-1.08249998092651	0.0130590535856289	-8.66478584720773	2.03803128282461	0.0464426833557922	-1.08429998159409	Q8N4X5	Actin filament-associated protein 1-like 2	AFAP1L2
-1.12950003147125	-1.08009994029999	-1.03069996833801	+	-1.08009999990463	0.000696548435176736	-37.8701797906151	3.15704866313742	0.0168965618070986	-1.08009998003642	P08648	Integrin alpha-5	ITGA5
-1.07144999504089	-1.71549999713898	-0.42739999294281		-1.07144999504089	0.0130590535856289	-8.66478584720773	0.990155577846302	0.177538426780264	-1.07144999504089	Q15004	PCNA-associated factor	PCLAF
-1.1952999830246	-1.06789994239807	-1.06900000572205	+	-1.06900000572205	0.0130590535856289	-8.66478584720773	2.83979945227036	0.0220009032323658	-1.11073331038157	Q86UY6-3	Isoform 2 of N-alpha-acetyltransferase 40	NAA40
-1.06764996051788	-1.21879994869232	-0.916499972343445	+	-1.06764996051788	0.00661471891077603	-12.2343640158393	2.17948860626744	0.0408311137262325	-1.06764996051788	B2R642	cDNA, FLJ92775, highly similar to Homo sapiens melanoma cell adhesion molecule (MCAM), mRNA	NA
-0.624700009822845	-1.28380000591278	-1.06019997596741		-1.06019997596741	0.0361795271497146	-5.11362421686436	1.44153711349163	0.0918030200189801	-0.989566663901011	C9JW74	Mesoderm-specific transcript homolog protein	MEST
-1.05840003490448	-1.28120005130768	-0.689999997615814		-1.05840003490448	0.0279228671210622	-5.85832918304614	1.55403999038888	0.0791849285280763	-1.00986669460932	A0A024QYT5	Serpin peptidase inhibitor, clade E (Nexin, plasminogen activator inhibitor type 1), member 1, isoform CRA_b	SERPINE1
-0.84060001373291	-1.04849994182587	-1.25639998912811		-1.04850000143051	0.0128532889521597	-8.7352351211065	1.89098571292042	0.0534107370319542	-1.0484999815623	O00562-2	Isoform 2 of Membrane-associated phosphatidylinositol transfer protein 1	PITPNM1
-0.964900016784668	-1.0436999797821	-1.32420003414154	+	-1.0436999797821	0.0130590535856289	-8.66478584720773	2.0224829585127	0.0474382432124509	-1.11093334356944	V9HW35	Epididymis secretory protein Li 55	HEL-S-55
-1.01209998130798	-1.23650002479553	-1.03250002861023	+	-1.03250002861023	0.00426343997693754	-15.2660882233562	2.37023984688428	0.0341740063884984	-1.09370001157125	F6RY50	Signal-induced proliferation-associated protein 1	SIPA1
-1.02989995479584	-1.09560000896454	-0.901199996471405	+	-1.02989995479584	0.00318697577029654	-17.6713862873601	2.4966212383385	0.0306529562088698	-1.00889998674393	P10109	Adrenodoxin, mitochondrial	FDX1
-0.900799989700317	-1.03390002250671	-1.02929997444153	+	-1.02929997444153	0.00194354357701958	-22.6500459453868	2.71140571742212	0.0240360944790603	-0.98799999554952	A0A024R5C5	Pyruvate carboxylase	PC
