Ratio.M.L.TotProt.R1.LOG2	Ratio.M.L.TotProt.R2.LOG2	Ratio.M.L.TotProt.R3.LOG2	T-test Significant 	Median_Log2.E.M.	p.value	t.statistic	-Log T-test p-value 	T-test q-value 	T-test Difference 	Protein.ID	Protein.Names	Gene.Name
-5.10069990158081	-4.24889993667603	-3.39709997177124	+	-4.24889993667602	0.0131334590142647	-8.63971691689573	1.88162087688345	0.0329526916276533	-4.24889993667603	Q53TK1	Cytochrome P450, family 1, subfamily B, polypeptide 1, isoform CRA_a	CYP1B1
-4.17640018463135	-4.53020000457764	-3.61910009384155	+	-4.17640018463135	0.00414027370459557	-15.4929326744665	2.38297094766342	0.0183094487399302	-4.10856676101685	P19022-2	Isoform 2 of Cadherin-2	CDH2
-4.01830005645752	-4.47109985351563	-3.56550002098084	+	-4.01829993724824	0.00420591093247488	-15.3708059593692	2.37613993704191	0.0184153096235552	-4.01829997698466	J3QLI0	Beta-2-glycoprotein 1 (Fragment)	APOH
-4.45109987258911	-3.97869992256165	-3.31340003013611	+	-3.97869992256165	0.00703211163443474	-11.8619796058982	2.15291424354307	0.023469069744168	-3.91439994176229	B2R6Q2	Alkaline phosphatase	NA
-4.04250001907349	-3.96709990501404	-3.93120002746582	+	-3.96709990501404	6.7889352680588E-05	-121.360414832288	4.1681983322682	0.00297146474425001	-3.98026665051778	V9HW74	Ubiquitin carboxyl-terminal hydrolase	HEL-117
-3.94720005989075	-2.89989995956421	-4.09630012512207	+	-3.94720005989075	0.010481197228219	-9.69079883070433	1.97958910700998	0.0287863627160621	-3.64780004819234	Q96D15	Reticulocalbin-3	RCN3
-3.92840003967285	-4.09380006790161	-3.60579991340637	+	-3.92840003967285	0.00136386072539417	-27.0501947795627	2.86522997665989	0.0114850238242436	-3.87600000699361	Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1	IGF2BP1
-3.83699989318848	-4.28550004959106	-3.88549995422363	+	-3.88549995422363	0.00125810973694898	-28.1663547366852	2.90028147647995	0.0111733866590927	-4.00266663233439	A0A024R316	Protein Wnt	WNT5A
-4.53399991989136	-3.31139993667603	-3.78620004653931	+	-3.78620004653931	0.00831886581535322	-10.8954478098443	2.07993588101874	0.0255095280403606	-3.87719996770223	A0A087X1W8	Cell adhesion molecule 1	CADM1
-4.04120016098022	-3.66580009460449	-3.24489998817444	+	-3.66580009460449	0.00394577154966989	-15.8725186047628	2.40386806292978	0.0179094262718385	-3.65063341458639	A0A024R1U8	Insulin-like growth factor binding protein 4, isoform CRA_a	IGFBP4
-3.47615003585815	-3.20199990272522	-3.75029993057251	+	-3.47614991664887	0.00206685605566395	-21.9619477095451	2.68468977826788	0.0136133804461258	-3.47614995638529	Q8N126-3	Isoform 3 of Cell adhesion molecule 3	CADM3
-3.08619999885559	-3.80220007896423	-3.46869993209839	+	-3.46869993209839	0.00357073439547332	-16.689976880014	2.44724245305176	0.0171002779257863	-3.45236666997274	Q9BX67-2	Isoform 2 of Junctional adhesion molecule C	JAM3
-3.60459995269775	-3.40899991989136	-3.46679997444153	+	-3.46679997444153	0.000275694966875167	-60.2137627603207	3.55957116236101	0.00613840837116419	-3.49346661567688	A8KA16	cDNA FLJ77243, highly similar to Homo sapiens steroid sensitive gene 1 (URB), transcript variant 1, mRNA	NA
-3.73399996757507	-3.40739989280701	-2.93370008468628	+	-3.40739989280701	0.00475146587395146	-14.4555372451468	2.32317238559836	0.0193025263084147	-3.35836664835612	D6RGG3	Collagen alpha-1(XII) chain	COL12A1
-3.1117000579834	-3.37969994544983	-3.52629995346069	+	-3.37969994544983	0.00131874789168766	-27.509914232304	2.87983822167427	0.0113310536129716	-3.33923331896464	Q6EMK4	Vasorin	VASN
-3.54809999465942	-3.17300009727478	-3.36779999732971	+	-3.36779999732971	0.00103563975256415	-31.0497501919286	2.98479128771973	0.0102781224280629	-3.36296669642131	P33908	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	MAN1A1
-4.35010004043579	-3.34599995613098	-2.69569993019104	+	-3.34599995613098	0.0187575657311866	-7.19837172560302	1.72682352299933	0.0406678637211398	-3.46393330891927	O75326	Semaphorin-7A	SEMA7A
-3.54259991645813	-2.95009994506836	-3.33170008659363	+	-3.33170008659363	0.00279162422280274	-18.8869028778036	2.554143041977	0.0155004339725393	-3.27479998270671	B3KQI5	cDNA FLJ90522 fis, clone NT2RP4000108, highly similar to Neurofilament triplet L protein	NA
-3.31089997291565	-3.25279998779297	-2.97239995002747	+	-3.25279998779297	0.00107911782061893	-30.4168233183266	2.96693113543652	0.0104940259982373	-3.17869997024536	A0A024RAI5	Bridging integrator 1, isoform CRA_a	BIN1
-3.50799989700317	-3.02649998664856	-3.24920010566711	+	-3.24920010566711	0.00181500060002691	-23.440658253238	2.74112322705334	0.0130503664064244	-3.26123332977295	A0A024R8E5	Collagen, type V, alpha 1, isoform CRA_a	COL5A1
-2.75550007820129	-3.24729990959167	-4.21750020980835	+	-3.24729990959167	0.0155257477328874	-7.93177457964073	1.80894747466538	0.0363978928658897	-3.40676673253377	P05997	Collagen alpha-2(V) chain	COL5A2
-3.2127001285553	-2.86050009727478	-3.56489992141724	+	-3.21270000934601	0.00398214166677643	-15.7994350791857	2.39988330446601	0.0179308755681482	-3.21270004908244	O14910	Protein lin-7 homolog A	LIN7A
-3.16860008239746	-3.17919993400574	-3.04060006141663	+	-3.16860008239746	0.000202488140932949	-70.2642218625898	3.69360040690954	0.00524778796583241	-3.12946669260661	P29323-2	Isoform 2 of Ephrin type-B receptor 2	EPHB2
-3.25710010528564	-3.11584997177124	-2.97460007667542	+	-3.11585009098053	0.00068431595619404	-38.2075052728058	3.16474332237605	0.00887805219650945	-3.1158500512441	P12110	Collagen alpha-2(VI) chain	COL6A2
-3.07200002670288	-2.70530009269714	-3.16630005836487	+	-3.07200002670288	0.00221720270100921	-21.2018704153128	2.65419460101988	0.0140957766418814	-2.98120005925496	P07197	Neurofilament medium polypeptide	NEFM
-2.2746000289917	-3.05489993095398	-3.0271999835968	+	-3.0271999835968	0.00831533592324517	-10.8977892776817	2.08012020157821	0.0255095280403606	-2.78556664784749	Q02539	Histone H1.1	HIST1H1A
-3.41370010375977	-2.57739996910095	-3.02209997177124	+	-3.02209997177124	0.00640359089007804	-12.4363976691861	2.1935764219361	0.022414756626511	-3.00440001487732	B3KQQ9	cDNA PSEC0048 fis, clone NT2RP2000028, highly similar to Serine protease 23	NA
-2.88059997558594	-3.41260004043579	-2.96169996261597	+	-2.96169996261597	0.00286501275946537	-18.6424060257931	2.5428734395438	0.0155704615073406	-3.0849666595459	A0A1P7ZIM8	LMO7b	NA
-2.93899989128113	-2.72420001029968	-3.15109992027283	+	-2.93899989128113	0.00175468553068538	-23.8412064869466	2.75580070513883	0.0128732776395588	-2.93809994061788	P54289-4	Isoform 4 of Voltage-dependent calcium channel subunit alpha-2/delta-1	CACNA2D1
-5.01079988479614	-2.93390011787415	-2.80369997024536		-2.93390011787415	0.0375933672728192	-5.01098946748952	1.42488877240575	0.0648419110119238	-3.58279999097188	P22413	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	ENPP1
-2.87140011787415	-2.95359992980957	-2.91250014305115	+	-2.91250002384186	6.63720585170106E-05	-122.739891967221	4.17801472443484	0.00297146474425001	-2.91250006357829	A0A024R687	Pleckstrin homology domain containing, family C (With FERM domain) member 1, isoform CRA_b	PLEKHC1
-2.91044998168945	-3.2765998840332	-2.5443000793457	+	-2.91044998168945	0.00523426900952578	-13.7677142856135	2.28114396105375	0.0201787082407067	-2.91044998168945	A0A024QZM5	KIAA1274, isoform CRA_a	KIAA1274
-2.71460008621216	-3.10870003700256	-2.84770011901855	+	-2.84770011901855	0.00159984577946702	-24.9711963767163	2.79592188006587	0.012394569193112	-2.89033341407776	P25391	Laminin subunit alpha-1	LAMA1
-3.34999990463257	-2.21429991722107	-2.78215003013611	+	-2.78214991092682	0.0136035423361317	-8.4860879693793	1.8663479996132	0.0337203594570497	-2.78214995066325	Q9UI42-2	Isoform 2 of Carboxypeptidase A4	CPA4
-2.95930004119873	-2.60050010681152	-2.74979996681213	+	-2.74979996681213	0.00140845732132104	-26.617607268502	2.85125630834862	0.0116521969991644	-2.7698667049408	A8K6I8	cDNA FLJ77324, highly similar to Homo sapiens RAB3B, member RAS oncogene family (RAB3B), mRNA	NA
-2.71654987335205	-2.69230008125305	-2.74079990386963	+	-2.71654999256134	2.65611177778842E-05	-194.029683185217	4.57575363969245	0.00230202083046377	-2.71654995282491	Q9H4G4	Golgi-associated plant pathogenesis-related protein 1	GLIPR2
-2.70414996147156	-2.58879995346069	-2.81949996948242	+	-2.70414996147155	0.000605978979404635	-40.6044629326162	3.21754244066363	0.0083196202507531	-2.70414996147156	O75508	Claudin-11	CLDN11
-2.68090009689331	-3.04940009117126	-2.4679000377655	+	-2.68090009689331	0.00384101903740766	-16.0887705933871	2.41555354032308	0.0177270066440439	-2.73273340861003	A6NLG9	Biglycan	NA
-2.38170003890991	-2.65429997444153	-2.73020005226135	+	-2.65429997444153	0.0016664510456941	-24.4658547889495	2.77820743981778	0.012586866969019	-2.58873335520426	W0HJ78	Apolipoprotein B mRNA editing enzyme catalytic polypeptide-like 3B	APOBEC3B
-2.96169996261597	-2.63190007209778	-2.43420004844666	+	-2.63190007209778	0.00328965917797297	-17.3920580192461	2.48284909439154	0.0164675900784698	-2.67593336105347	Q0ZGT2-4	Isoform 4 of Nexilin	NEXN
-2.64750003814697	-2.62509989738464	-2.49550008773804	+	-2.62509989738464	0.000334598317055493	-54.6549016263532	3.475476247759	0.00671952149663233	-2.58936667442322	P35555	Fibrillin-1	FBN1
-2.61395001411438	-2.85669994354248	-2.37120008468628	+	-2.61395001411438	0.00286242810899393	-18.6508570509492	2.54326541199341	0.0155704615073406	-2.61395001411438	Q08397	Lysyl oxidase homolog 1	LOXL1
-2.5064001083374	-2.71129989624023	-2.60885000228882	+	-2.60885000228881	0.000513651827533999	-44.1060559363127	3.28933116236048	0.00813540885164563	-2.60885000228882	Q8IYD1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B	GSPT2
-2.65520000457764	-2.60470008850098	-2.50460004806519	+	-2.60470008850098	0.000292226228459487	-58.485095458716	3.53428080700536	0.00623537714975413	-2.5881667137146	Q12805-2	Isoform 2 of EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1
-2.39369988441467	-2.59949994087219	-2.87949991226196	+	-2.59949994087219	0.00286565001673711	-18.6403241419772	2.5427768513031	0.0155704615073406	-2.62423324584961	A0A286LWX1	AOX1	AOX1
-2.58579993247986	-2.80920004844666	-2.39800000190735	+	-2.58579993247986	0.00208680016602658	-21.8564199031223	2.68051913739758	0.0136133804461258	-2.59766666094462	Q9UDY4	DnaJ homolog subfamily B member 4	DNAJB4
-2.65409994125366	-2.49780011177063	-2.57595014572144	+	-2.57595002651215	0.000306662793019256	-57.0912500472286	3.51333892657398	0.00638587622928873	-2.57595006624858	A0A087WT82	Glypican-6	GPC6
-2.53460001945496	-2.56560015678406	-2.59660005569458	+	-2.56560003757477	4.8662344898796E-05	-143.346678050502	4.3128069809455	0.00262315642641317	-2.5656000773112	A0A0S2Z3V0	Apolipoprotein E isoform 2 (Fragment)	APOE
-3.20959997177124	-2.5576000213623	-2.23460006713867	+	-2.5576000213623	0.0113611601183444	-9.30172224589603	1.94457731939347	0.0302129970087642	-2.66726668675741	D9ZGF5	Fibroblast growth factor	FGF2
-2.38150000572205	-2.65380001068115	-2.55029988288879	+	-2.55029988288879	0.000983517207696122	-31.8631334598452	3.00721803722703	0.0100623798824155	-2.528533299764	P29966	Myristoylated alanine-rich C-kinase substrate	MARCKS
-2.32850003242493	-2.50720000267029	-2.54450011253357	+	-2.50720000267029	0.000733402940244564	-36.9053807052555	3.13465735326631	0.00906499008943187	-2.46006671587626	L7RSM7	Protein kinase C	PRKCA
-3.41199994087219	-2.49720001220703	-1.58239996433258		-2.49719995260239	0.0419386775988294	-4.72811242897639	1.37738527425785	0.0707171434826885	-2.4971999724706	B7Z544	cDNA FLJ51742, highly similar to Inter-alpha-trypsin inhibitor heavy chain H4	NA
-1.51320004463196	-2.4284999370575	-2.85509991645813		-2.4284999370575	0.0291964368466806	-5.72347464918995	1.5346701469209	0.0543653503592668	-2.26559996604919	P02790	Hemopexin	HPX
-2.65630006790161	-2.14829993247986	-2.40229988098145	+	-2.40230000019073	0.0037057202810373	-16.3815139612064	2.43112735135714	0.017362300259175	-2.40229996045431	Q15746-4	Isoform 3B of Myosin light chain kinase, smooth muscle	MYLK
-2.86199998855591	-2.38529992103577	-1.7558000087738	+	-2.38529992103577	0.0183163963209578	-7.28700992697721	1.73715996799772	0.0401018664213598	-2.33436663945516	P14384	Carboxypeptidase M	CPM
-2.38359999656677	-2.24169993400574	-2.37739992141724	+	-2.37739992141724	0.000393225141360843	-50.4140108323272	3.40535872276966	0.00724354657880881	-2.33423328399658	F1D8R0	Nuclear receptor subfamily 2, group F, member 2, isoform CRA_a	NR2F2
-2.24950003623962	-2.36785006523132	-2.48620009422302	+	-2.36785006523132	0.000831696779319707	-34.6534483567685	3.08003498028458	0.00954959463429559	-2.36785006523132	S4R371	Fatty acid-binding protein, heart (Fragment)	FABP3
-2.35820007324219	-1.53960001468658	-2.37639999389648	+	-2.35820007324219	0.0169676796155151	-7.57890862155354	1.77037754478209	0.0383288431014615	-2.09140002727509	A0A140VKH4	Calpain 5, isoform CRA_c	CAPN5
-1.93309998512268	-2.78099989891052	-2.3570499420166	+	-2.3570499420166	0.0106124065205289	-9.62974565550328	1.97418612257128	0.0290000713700011	-2.3570499420166	A9LSU1	Type IV collagen alpha 1 (Fragment)	NA
-2.62549996376038	-2.29169988632202	-2.35279989242554	+	-2.35279989242554	0.00178810312811953	-23.6167802054665	2.74760743706074	0.0129500441571911	-2.42333324750265	A0A087X0S5	Collagen alpha-1(VI) chain	COL6A1
-1.65950000286102	-2.34905004501343	-3.03859996795654		-2.34904998540878	0.027541647027537	-5.90047716224129	1.56001009895741	0.0523334663844993	-2.349050005277	A0A024R216	Hepatoma-derived growth factor, related protein 3, isoform CRA_a	HDGFRP3
-2.2936999797821	-2.34430003166199	-2.35570001602173	+	-2.34430003166199	6.6790318456977E-05	-122.354933988382	4.17528648580955	0.00297146474425001	-2.33123334248861	Q13740-2	Isoform 2 of CD166 antigen	ALCAM
-2.15229988098145	-2.34150004386902	-2.85500001907349	+	-2.34150004386902	0.00726446582782267	-11.6686843006713	2.13879631489899	0.0238623024359745	-2.44959998130798	A0A024RDW8	Collagen, type IV, alpha 2, isoform CRA_a	COL4A2
-2.3306999206543	-2.35800004005432	-2.30340003967285	+	-2.33070003986358	4.57300300743412E-05	-147.871460001548	4.33979849819517	0.00257344496699869	-2.33070000012716	B4DI61	cDNA FLJ58182, highly similar to Protein CYR61	NA
-2.02360010147095	-2.54310011863709	-2.28335022926331	+	-2.28335011005402	0.0042859374701618	-15.2257103807438	2.36795418443086	0.018521759514951	-2.28335014979045	F8VWL3	FYVE, RhoGEF and PH domain-containing protein 4	FGD4
-2.25854992866516	-2.90820002555847	-1.60889995098114		-2.25854998826981	0.0264881137323701	-6.02158563315709	1.57694896017855	0.0509296919873461	-2.25854996840159	B2R7T2	cDNA, FLJ93591, highly similar to Homo sapiens transforming growth factor, beta 2 (TGFB2), mRNA	NA
-2.2506000995636	-1.69200003147125	-2.30430006980896	+	-2.2506000995636	0.00872309632669702	-10.6367468380977	2.05932933186665	0.0261539673726523	-2.08230006694794	P14543-2	Isoform 2 of Nidogen-1	NID1
-0.131400004029274	-2.24449992179871	-2.39280009269714		-2.24449992179871	0.161468936403566	-2.17647746710931	0.791911017086331	0.204572592810197	-1.58956667284171	Q7Z406	Myosin-14	MYH14
-2.22664999961853	-2.37639999389648	-2.07690000534058	+	-2.22664999961853	0.00150427643100392	-25.7540639557834	2.82267234896504	0.0119990648024434	-2.22664999961853	Q6IB58	FLOT1 protein	FLOT1
-2.07470011711121	-2.20590019226074	-2.3371000289917	+	-2.20590007305146	0.00117708310317164	-29.1214351069231	2.92919289009502	0.010959835932066	-2.20590011278788	A0A024RBB5	Cysteine and glycine-rich protein 2, isoform CRA_a	CSRP2
-2.02250003814697	-2.20129990577698	-2.22460007667542	+	-2.20129990577698	0.000880910502899382	-33.6703032244597	3.05506821198677	0.00975876010410127	-2.14946667353312	B3KUB6	cDNA FLJ39529 fis, clone PUAEN2004067, highly similar to Band 4.1-like protein 1	NA
-1.7039999961853	-2.18129992485046	-2.19379997253418	+	-2.18129992485046	0.00627078167327712	-12.5686644039819	2.20267831962157	0.0221982348981859	-2.02636663118998	Q9BQ69	O-acetyl-ADP-ribose deacetylase MACROD1	MACROD1
-1.52699995040894	-2.17654991149902	-2.82610011100769		-2.17655003070831	0.0284272317527143	-5.80385616558599	1.54626541471623	0.0534223335395433	-2.17654999097188	J3KN67	Tropomyosin alpha-3 chain	TPM3
-2.16490006446838	-2.2746000289917	-1.90849995613098	+	-2.16490006446838	0.00261771980485881	-19.5067298861533	2.58207684125334	0.015025890057643	-2.11600001653036	Q92692	Nectin-2	NECTIN2
-2.15650010108948	-1.96010005474091	-2.20409989356995	+	-2.15650010108948	0.00125385187071596	-28.2142284948858	2.90175376775624	0.0111733866590927	-2.10690001646678	A0A024RC55	Milk fat globule-EGF factor 8 protein, isoform CRA_a	MFGE8
-2.09340000152588	-2.88039994239807	-2.15100002288818	+	-2.15100002288818	0.01118316757886	-9.3767219646162	1.95143516762177	0.0298587075671347	-2.37493332227071	Q6FH11	HMOX1 protein	HMOX1
-2.13490009307861	-2.32949995994568	-2.10139989852905	+	-2.13490009307861	0.00105402109379654	-30.7773923471213	2.9771506976361	0.0103758915405242	-2.18859998385111	Q9NZU5	LIM and cysteine-rich domains protein 1	LMCD1
-2.11240005493164	-2.16810011863709	-1.20089995861053		-2.11240005493164	0.0282054470177674	-5.82763218909076	1.54966701291416	0.0532007713358095	-1.82713337739309	A0A0S2Z2Z6	Annexin (Fragment)	ANXA6
-2.09109997749329	-2.68199992179871	-1.71549999713898	+	-2.09109997749329	0.0164981626767087	-7.68875600257895	1.7825644184406	0.0376670044883607	-2.16286663214366	Q9H1J7	Protein Wnt-5b	WNT5B
-2.11100006103516	-2.08229994773865	-1.99849998950958	+	-2.08229994773865	0.000267280102594998	-61.1546680367049	3.57303337066679	0.00608329513506121	-2.06393333276113	Q99958	Forkhead box protein C2	FOXC2
-2.07410001754761	-2.08500003814697	-2.07955002784729	+	-2.07955002784729	2.28946049725962E-06	-660.895320752751	5.64026684546201	0.00078162181376516	-2.07955002784729	Q6FG93	HCG34604, isoform CRA_c	VAMP5
-2.07704997062683	-2.02819991111755	-2.12590003013611	+	-2.07704997062683	0.000184329547260942	-73.6448658430332	3.73440504359894	0.00507569704249746	-2.07704997062683	B5BU41	Calcium/calmodulin-dependent protein kinase I	CAMK1
-1.42019999027252	-2.07559990882874	-2.32760000228882	+	-2.07559990882874	0.0188620661380971	-7.17782848369751	1.72441073666653	0.0408078882591097	-1.94113330046336	Q9H008	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP
-2.03660011291504	-2.06290006637573	-2.08920001983643	+	-2.06290006637574	5.41747645810232E-05	-135.857568388471	4.26620296725113	0.00280231282241788	-2.06290006637573	Q9H792	Pseudopodium-enriched atypical kinase 1	PEAK1
-2.12520003318787	-2.03780007362366	-2.04439997673035	+	-2.04439997673035	0.000184354549873969	-73.6398703444805	3.73434613952915	0.00507569704249746	-2.06913336118062	Q9BRX8-2	Isoform 2 of Redox-regulatory protein FAM213A	FAM213A
-1.68009996414185	-2.39689993858337	-2.03849983215332	+	-2.03849995136261	0.0101471392999887	-9.8515223573708	1.99365636120792	0.028316198125921	-2.03849991162618	A2VDF0-2	Isoform 2 of Fucose mutarotase	FUOM
-2.64010000228882	-1.42960000038147	-2.03484988212585		-2.03485000133514	0.0282470297147172	-5.8231533788363	1.5490271969553	0.0532486536984839	-2.03484996159871	Q96CX6	Leucine-rich repeat-containing protein 58	LRRC58
-2.03159999847412	-2.21070003509521	-1.55350005626678	+	-2.03159999847412	0.0101520288604955	-9.84911310761038	1.99344715658185	0.028316198125921	-1.93193336327871	D9YZV5	Tropomyosin 1 (Alpha) isoform 4	TPM1
-2.21020007133484	-2.02999997138977	-1.94659996032715	+	-2.02999997138977	0.00141968042798345	-26.5119638914216	2.84780940490082	0.0116736248315715	-2.06226666768392	Q5TB52	3-phosphoadenosine 5-phosphosulfate synthase 2, isoform CRA_b	PAPSS2
-2.13289999961853	-2.02609992027283	-1.91929996013641	+	-2.02609997987747	0.000924904346058879	-32.8586840608315	3.03390317132488	0.00984705872958598	-2.02609996000926	C9J5X1	Tyrosine-protein kinase receptor	IGF1R
-2.02340006828308	-0.90310001373291	-2.14420008659363		-2.02340006828308	0.0505371296649383	-4.27789591713864	1.29638942828302	0.0811443520648156	-1.69023338953654	O00746-2	Isoform 2 of Nucleoside diphosphate kinase, mitochondrial	NME4
-2.01449990272522	-2.01519989967346	-1.98950004577637	+	-2.01449990272522	1.77463964316664E-05	-237.377269606985	4.75088982112859	0.00197563687231707	-2.00639994939168	F8W717	Echinoderm microtubule-associated protein-like 1	EML1
-1.78340005874634	-2.24169993400574	-2.01255011558533	+	-2.01254999637604	0.00429359250002733	-15.2120436189203	2.36717919338711	0.0185391958933363	-2.01255003611247	B7Z3K3	cDNA FLJ57998, highly similar to Homo sapiens myo-inositol 1-phosphate synthase A1 (ISYNA1), mRNA	NA
-2.01489996910095	-2.00040006637573	-1.91310000419617	+	-2.00040006637573	0.000258745763703125	-62.1554312936776	3.58712675193275	0.00595474996121104	-1.97613334655762	Q86VY4	Testis-specific Y-encoded-like protein 5	TSPYL5
-1.97389996051788	-1.99639999866486	-2.0524001121521	+	-1.99639999866486	0.000135122180724789	-86.0186577743646	3.86927335434073	0.00437949802209859	-2.00756669044495	A0A024R0Q4	Phospholipase D family, member 3, isoform CRA_b	PLD3
-1.99500000476837	-1.990149974823	-1.98529994487762	+	-1.99014997482299	1.97967858361334E-06	-710.725688273836	5.70340531513987	0.000779841078975181	-1.990149974823	Q96PU8-9	Isoform 6 of Protein quaking	QKI
-2.22519993782043	-1.98280000686646	-1.95640003681183	+	-1.98280000686646	0.00172851682073416	-24.0214717646427	2.76232638984673	0.0128461746722745	-2.05479999383291	B2RB33	cDNA, FLJ95281, highly similar to Homo sapiens a disintegrin-like and metalloprotease (reprolysintype) with thrombospondin type 1 motif, 1 (ADAMTS1), mRNA	NA
-1.68229997158051	-1.97220003604889	-2.11540007591248	+	-1.97220003604889	0.00435867005830424	-15.0973134412055	2.360646004881	0.0186316772688365	-1.92330002784729	A7E261	5-oxoprolinase (ATP-hydrolysing)	OPLAH
-1.95550000667572	-2.03509998321533	-1.87590003013611	+	-1.95550000667572	0.000551860563983366	-42.5505824625237	3.25817063955739	0.00824164825502136	-1.95550000667572	B2RU35	Tensin 1	TNS1
-2.35170006752014	-1.53229999542236	-1.94200003147125	+	-1.94200003147125	0.0145136485312037	-8.21001324590359	1.83822339819042	0.0348599037109249	-1.94200003147125	Q86T81	Uncharacterized protein DKFZp451M2318	DKFZp451M2318
-2.05690002441406	-1.82130002975464	-1.93910002708435	+	-1.93910002708435	0.00122791524960586	-28.5112041086712	2.91083160705378	0.0110997231256789	-1.93910002708435	Q13237-2	Isoform 2 of cGMP-dependent protein kinase 2	PRKG2
-1.93155002593994	-1.97350001335144	-1.88960003852844	+	-1.93155002593994	0.000157191147214032	-79.7507457981221	3.80357191646687	0.00471214763051631	-1.93155002593994	F6WFR7	Neurotrimin	NTM
-1.92830002307892	-1.92789995670319	-1.92750000953674	+	-1.92790001630783	1.43497524048614E-08	-8347.9106392599	7.84315558015826	7.34850841229347E-05	-1.92789999643962	Q8N6C1	CTCL tumor antigen HD-CL-02	NA
-2.24850010871887	-1.92255008220673	-1.59660005569458	+	-1.92255008220672	0.00944578269189481	-10.216150181395	2.02476205017227	0.0273441792767369	-1.92255008220673	P48060	Glioma pathogenesis-related protein 1	GLIPR1
-1.92219996452332	-2.25049996376038	-1.59389996528625	+	-1.92219996452331	0.00958395673155575	-10.1411757800747	2.01845515588313	0.0275263277598343	-1.92219996452332	Q99685	Monoglyceride lipase	MGLL
-1.8753000497818	-2.00349998474121	-1.92190003395081	+	-1.92190003395081	0.000375223244744945	-51.6098845844647	3.42571026530426	0.00697479029628362	-1.93356668949127	O75663	TIP41-like protein	TIPRL
